,FEN,Name,ECO,UCI,SAN,White_Win,Draw,Black_Win,Common1,Common2,Common3
28,rnbqkb1r/ppp2ppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 3 4,French Defense: Burn Variation,C11,c1g5,Bg5,20697,2549,18883,"['f8e7', 'Be7']","['d5e4', 'dxe4']","['f8b4', 'Bb4']"
29,rnbqk2r/ppp1bppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq - 4 5,"French Defense: Classical Variation, Normal Variation",C13,f8e7,Be7,11363,1349,10154,"['e4e5', 'e5']","['g5f6', 'Bxf6']","['e4d5', 'exd5']"
30,rnbqk2r/ppp1bppp/4pB2/3p4/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq - 0 5,"French Defense: Classical Variation, Richter Attack",C13,g5f6,Bxf6,1360,187,1568,"['e7f6', 'Bxf6']","['g7f6', 'gxf6']","['b8c6', 'Nc6']"
31,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,Italian Game: Giuoco Piano,C50,f8c5,Bc5,642706,63030,611157,"['c2c3', 'c3']","['e1h1', 'O-O']","['d2d3', 'd3']"
32,rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,Van Geet Opening,A00,b1c3,Nc3,164626,18606,195959,"['e7e5', 'e5']","['d7d5', 'd5']","['g8f6', 'Nf6']"
33,rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq - 0 1,Nimzo-Larsen Attack,A01,b2b3,b3,227397,22790,223006,"['e7e5', 'e5']","['d7d5', 'd5']","['g8f6', 'Nf6']"
34,rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,Queen's Gambit,D06,c2c4,c4,1619923,147489,1169901,"['d5c4', 'dxc4']","['e7e6', 'e6']","['c7c6', 'c6']"
35,rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Queen's Gambit Declined: Marshall Defense,D06,g8f6,Nf6,328347,25899,231648,"['b1c3', 'Nc3']","['c4d5', 'cxd5']","['g1f3', 'Nf3']"
36,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Queen's Gambit Declined: Normal Defense,D35,e7e6,e6,206782,26216,173739,"['c1g5', 'Bg5']","['g1f3', 'Nf3']","['c4d5', 'cxd5']"
37,r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Ruy Lopez,C60,f1b5,Bb5,1320257,122376,1052884,"['a7a6', 'a6']","['g8f6', 'Nf6']","['d7d6', 'd6']"
38,r1bqkb1r/ppppnppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,Ruy Lopez: Cozio Defense,C60,g8e7,Nge7,70460,6303,55789,"['e1h1', 'O-O']","['b1c3', 'Nc3']","['c2c3', 'c3']"
39,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Sicilian Defense,B20,c7c5,c5,3191858,347163,3525063,"['g1f3', 'Nf3']","['f1c4', 'Bc4']","['d2d4', 'd4']"
40,rnbqkbnr/pp1ppppp/8/2p5/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,Sicilian Defense: McDonnell Attack,B21,f2f4,f4,84073,8269,93890,"['b8c6', 'Nc6']","['d7d6', 'd6']","['e7e6', 'e6']"
41,rnbqkbnr/pppp1ppp/8/4p3/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,Nimzo-Larsen Attack: Modern Variation,A01,e7e5,e5,108962,10099,109545,"['c1b2', 'Bb2']","['e2e4', 'e4']","['g2g3', 'g3']"
42,rnbqkbnr/ppp2ppp/4p3/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,French Defense: Advance Variation,C02,e4e5,e5,319828,32633,345358,"['c7c5', 'c5']","['b8c6', 'Nc6']","['f7f6', 'f6']"
43,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Scandinavian Defense,B01,d7d5,d5,1727973,155117,1488577,"['e4d5', 'exd5']","['e4e5', 'e5']","['b1c3', 'Nc3']"
44,rnb1kbnr/ppp1pppp/8/3q4/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 3,Scandinavian Defense: Mieses-Kotroc Variation,B01,d8d5,Qxd5,766156,62930,517609,"['b1c3', 'Nc3']","['g1f3', 'Nf3']","['d2d4', 'd4']"
45,rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,Bishop's Opening,C23,f1c4,Bc4,1248415,100282,1100812,"['g8f6', 'Nf6']","['b8c6', 'Nc6']","['f8c5', 'Bc5']"
46,rnbqkb1r/pppp1ppp/5n2/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 2 3,Bishop's Opening: Berlin Defense,C24,g8f6,Nf6,537773,45022,520459,"['d2d3', 'd3']","['g1f3', 'Nf3']","['b1c3', 'Nc3']"
47,rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,King's Gambit,C30,f2f4,f4,477874,32116,362771,"['e5f4', 'exf4']","['b8c6', 'Nc6']","['d7d6', 'd6']"
48,r1bqk1nr/ppppbppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,Italian Game: Hungarian Defense,C50,f8e7,Be7,51489,6103,52829,"['d2d4', 'd4']","['e1h1', 'O-O']","['b1c3', 'Nc3']"
49,r1bqk1nr/ppppbppp/2n5/8/2BpP3/5N2/PPP2PPP/RNBQK2R w KQkq - 0 5,Scotch Game: Benima Defense,C44,e5d4,exd4,16850,1603,12666,"['f3d4', 'Nxd4']","['c2c3', 'c3']","['e1h1', 'O-O']"
50,rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Queen's Gambit Accepted,D20,d5c4,dxc4,490902,35665,308261,"['e2e3', 'e3']","['e2e4', 'e4']","['b1c3', 'Nc3']"
51,rnbqkbnr/ppp1pppp/8/8/2pPP3/8/PP3PPP/RNBQKBNR b KQkq - 0 3,Queen's Gambit Accepted: Saduleto Variation,D20,e2e4,e4,131928,9577,85988,"['b7b5', 'b5']","['e7e6', 'e6']","['b8c6', 'Nc6']"
52,rnb1kbnr/pppp1ppp/5q2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,King's Pawn Game: McConnell Defense,C40,d8f6,Qf6,200011,13641,150121,"['f1c4', 'Bc4']","['b1c3', 'Nc3']","['d2d4', 'd4']"
53,rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,Horwitz Defense,A40,e7e6,e6,723359,64809,599011,"['c2c4', 'c4']","['e2e4', 'e4']","['c1f4', 'Bf4']"
54,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,English Opening,A10,c2c4,c4,1056913,107348,910421,"['e7e5', 'e5']","['g8f6', 'Nf6']","['c7c5', 'c5']"
55,rnbqkb1r/pppppppp/5n2/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 2,English Opening: Anglo-Indian Defense,A15,g8f6,Nf6,125339,16867,126478,"['b1c3', 'Nc3']","['d2d4', 'd4']","['g2g3', 'g3']"
56,rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq - 2 2,"English Opening: Anglo-Indian Defense, King's Knight Variation",A15,g1f3,Nf3,34157,4862,28316,"['g7g6', 'g6']","['e7e6', 'e6']","['c7c5', 'c5']"
57,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,Pirc Defense,B00,d7d6,d6,589466,56053,499936,"['d2d4', 'd4']","['g1f3', 'Nf3']","['f1c4', 'Bc4']"
58,r1bqk2r/pppp1pp1/2n2n1p/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq - 2 6,"Italian Game: Classical Variation, Giuoco Pianissimo, with h6",C54,f8c5,Bc5,32786,4077,35658,"['b1c3', 'Nc3']","['c2c3', 'c3']","['h2h3', 'h3']"
59,rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,Center Game,C20,d2d4,d4,704446,58463,641612,"['e5d4', 'exd4']","['b8c6', 'Nc6']","['d7d6', 'd6']"
60,rnbqkbnr/pp1p1ppp/2p5/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR w KQkq - 0 3,Bishop's Opening: Philidor Counterattack,C23,c7c6,c6,43633,3203,34669,"['g1f3', 'Nf3']","['d1h5', 'Qh5']","['d1f3', 'Qf3']"
61,rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Sicilian Defense: Modern Variations,B50,d7d6,d6,625512,75694,647024,"['d2d4', 'd4']","['f1c4', 'Bc4']","['b1c3', 'Nc3']"
62,rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,Van't Kruijs Opening,A00,e2e3,e3,652351,67625,798776,"['e7e5', 'e5']","['d7d5', 'd5']","['e7e6', 'e6']"
63,rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,English Defense,A40,b7b6,b6,90254,7442,72809,"['e2e4', 'e4']","['c2c4', 'c4']","['c1f4', 'Bf4']"
64,r1bqk1nr/pppp1ppp/2n5/2b1p3/1PB1P3/5N2/P1PP1PPP/RNBQK2R b KQkq - 0 4,Italian Game: Evans Gambit,C51,b2b4,b4,48745,3491,37657,"['c5b4', 'Bxb4']","['c5b6', 'Bb6']","['c6b4', 'Nxb4']"
65,r1bqk1nr/pppp1ppp/2n5/4p3/1bB1P3/5N2/P1PP1PPP/RNBQK2R w KQkq - 0 5,Italian Game: Evans Gambit Accepted,C51,c5b4,Bxb4,38190,2786,29547,"['c2c3', 'c3']","['e1h1', 'O-O']","['a2a3', 'a3']"
66,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/P2P1PPP/RNBQK2R w KQkq - 1 6,"Italian Game: Evans Gambit, McDonnell Defense",C51,b4c5,Bc5,23699,1350,15033,"['d2d4', 'd4']","['e1h1', 'O-O']","['d1b3', 'Qb3']"
67,rnbqkbnr/pppp1ppp/4p3/8/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq - 0 2,French Defense: Horwitz Attack,C00,b2b3,b3,10714,1125,10805,"['d7d5', 'd5']","['d8f6', 'Qf6']","['g8f6', 'Nf6']"
68,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,Alekhine Defense,B02,g8f6,Nf6,442270,39350,346521,"['b1c3', 'Nc3']","['e4e5', 'e5']","['d2d3', 'd3']"
69,rnbqkb1r/pppppppp/5n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,Zukertort Opening: Lemberger Gambit,A05,g1f3,Nf3,19228,2005,22205,"['f6e4', 'Nxe4']","['e7e5', 'e5']","['d7d5', 'd5']"
70,r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,Mikenas Defense,A40,b8c6,Nc6,182669,14606,119097,"['g1f3', 'Nf3']","['d4d5', 'd5']","['e2e3', 'e3']"
71,r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,"Italian Game: Two Knights Defense, Open Variation",C56,d2d4,d4,52980,3950,40470,"['e5d4', 'exd4']","['f6e4', 'Nxe4']","['d7d6', 'd6']"
72,rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Queen's Gambit Declined: Baltic Defense,D06,c8f5,Bf5,30473,2289,21046,"['b1c3', 'Nc3']","['c4d5', 'cxd5']","['g1f3', 'Nf3']"
73,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Sicilian Defense: Old Sicilian,B30,b8c6,Nc6,607982,66471,602321,"['d2d4', 'd4']","['f1c4', 'Bc4']","['f1b5', 'Bb5']"
74,r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,f1b5,Bb5,89940,9733,80770,"['a7a6', 'a6']","['g7g6', 'g6']","['e7e6', 'e6']"
75,r1bqkbnr/pppnpppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,Rat Defense: Antal Defense,B00,b8d7,Nd7,14893,1287,12609,"['g1f3', 'Nf3']","['b1c3', 'Nc3']","['c2c4', 'c4']"
76,rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Sicilian Defense: Hyperaccelerated Dragon,B27,g7g6,g6,74009,8898,81973,"['d2d4', 'd4']","['f1c4', 'Bc4']","['c2c3', 'c3']"
77,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Sicilian Defense: Alapin Variation,B22,c2c3,c3,158550,18752,156428,"['b8c6', 'Nc6']","['d7d6', 'd6']","['d7d5', 'd5']"
78,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,Nimzowitsch Defense,B00,b8c6,Nc6,443057,35197,351352,"['g1f3', 'Nf3']","['d2d4', 'd4']","['f1c4', 'Bc4']"
79,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,Nimzowitsch Defense: Kennedy Variation,B00,e7e5,e5,156678,11313,115167,"['d4d5', 'd5']","['g1f3', 'Nf3']","['d4e5', 'dxe5']"
80,r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,d4d5,d5,93673,5747,57800,"['c6d4', 'Nd4']","['c6e7', 'Nce7']","['c6b4', 'Nb4']"
81,rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,Center Game Accepted,C21,e5d4,exd4,319872,28536,358154,"['d1d4', 'Qxd4']","['c2c3', 'c3']","['g1f3', 'Nf3']"
82,r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4,Center Game: Normal Variation,C22,b8c6,Nc6,128057,13332,190779,"['d4d1', 'Qd1']","['d4e3', 'Qe3']","['d4a4', 'Qa4']"
83,r1bqkbnr/pppp1ppp/2n5/8/4P3/4Q3/PPP2PPP/RNB1KBNR b KQkq - 2 4,Center Game: Paulsen Attack Variation,C22,d4e3,Qe3,43027,3969,49654,"['g8f6', 'Nf6']","['d7d6', 'd6']","['b7b6', 'b6']"
84,r1bqkb1r/pppp1ppp/2n2n2/8/4P3/4Q3/PPP2PPP/RNB1KBNR w KQkq - 3 5,Center Game: Berger Variation,C22,g8f6,Nf6,14459,1330,17471,"['b1c3', 'Nc3']","['e4e5', 'e5']","['f2f3', 'f3']"
85,rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,Nimzo-Larsen Attack: Classical Variation,A01,d7d5,d5,49443,5191,49343,"['c1b2', 'Bb2']","['e2e3', 'e3']","['d2d4', 'd4']"
86,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Philidor Defense,C41,d7d6,d6,1273314,107065,968261,"['f1c4', 'Bc4']","['d2d4', 'd4']","['b1c3', 'Nc3']"
87,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Queen's Gambit Declined,D30,e7e6,e6,459918,52033,373718,"['b1c3', 'Nc3']","['g1f3', 'Nf3']","['c4d5', 'cxd5']"
88,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Sicilian Defense: French Variation,B40,e7e6,e6,223701,27399,248822,"['d2d4', 'd4']","['b1c3', 'Nc3']","['f1c4', 'Bc4']"
89,rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,Sicilian Defense: Smith-Morra Gambit,B21,d2d4,d4,274283,27104,313209,"['c5d4', 'cxd4']","['e7e6', 'e6']","['d7d6', 'd6']"
90,rnbqkbnr/pp1ppppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq - 0 4,Sicilian Defense: Smith-Morra Gambit Accepted,B21,d4c3,dxc3,61711,5957,53109,"['b1c3', 'Nxc3']","['f1c4', 'Bc4']","['g1f3', 'Nf3']"
91,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,Zukertort Opening,A04,g1f3,Nf3,987392,105757,892921,"['d7d5', 'd5']","['g8f6', 'Nf6']","['b8c6', 'Nc6']"
92,rnbqkbnr/p1pppppp/1p6/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,Zukertort Opening: Queenside Fianchetto Variation,A04,b7b6,b6,19206,1768,15965,"['g2g3', 'g3']","['d2d4', 'd4']","['e2e4', 'e4']"
93,r1bqkbnr/pppp1pp1/2n4p/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 0 4,Italian Game: Anti-Fried Liver Defense,C50,h7h6,h6,355926,30351,288141,"['d2d4', 'd4']","['e1h1', 'O-O']","['b1c3', 'Nc3']"
94,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Petrov's Defense,C42,g8f6,Nf6,1050015,86669,791170,"['f3e5', 'Nxe5']","['b1c3', 'Nc3']","['f1c4', 'Bc4']"
95,rnbqkb1r/pppp1ppp/5n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Petrov's Defense: Modern Attack,C43,d2d4,d4,57922,4814,44804,"['e5d4', 'exd4']","['f6e4', 'Nxe4']","['d7d6', 'd6']"
96,rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,Philidor Defense: Nimzowitsch Variation,C41,d7d6,d6,34962,2675,21974,"['d4e5', 'dxe5']","['b1c3', 'Nc3']","['c1g5', 'Bg5']"
97,rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,French Defense: Knight Variation,C00,g1f3,Nf3,438046,43516,451782,"['d7d5', 'd5']","['g8f6', 'Nf6']","['b8c6', 'Nc6']"
98,rnbqkbnr/pppppp1p/6p1/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 0 2,Zukertort Opening: Kingside Fianchetto,A04,g7g6,g6,26140,2947,24264,"['d2d4', 'd4']","['g2g3', 'g3']","['e2e4', 'e4']"
99,rnbqkbnr/ppp2ppp/8/3pp3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,King's Pawn Game: Beyer Gambit,C20,d7d5,d5,46703,4437,30976,"['d4e5', 'dxe5']","['e4d5', 'exd5']","['b1c3', 'Nc3']"
